Country,geo_x,fuel,nrg_bal,unit,Year,Consumption,Population,Consumption_per_capita_TOE
Albania,AL,Total (all energy products combined),FC_E,KTOE,2013,1961.871,2897770.0,0.677027852452058
Albania,AL,Total (all energy products combined),FC_E,KTOE,2014,2058.574,2892394.0,0.7117197726174235
Albania,AL,Total (all energy products combined),FC_E,KTOE,2015,1962.498,2885796.0,0.6800543073730784
Albania,AL,Total (all energy products combined),FC_E,KTOE,2016,1899.558,2875592.0,0.6605798040890363
Albania,AL,Total (all energy products combined),FC_E,KTOE,2017,2078.928,2876591.0,0.7227054523913897
Albania,AL,Total (all energy products combined),FC_E,KTOE,2018,2134.212,2870324.0,0.7435439344129792
Albania,AL,Total (all energy products combined),FC_E,KTOE,2019,2053.036,2862427.0,0.71723610768065
Albania,AL,Total (all energy products combined),FC_E,KTOE,2020,1840.668,2845955.0,0.646766375434608
Albania,AL,Total (all energy products combined),FC_E,KTOE,2021,2012.504,2829741.0,0.7111972438466984
Albania,AL,Total (all energy products combined),FC_E,KTOE,2022,1958.847,2793592.0,0.7011929444242395
Albania,AL,Total (all energy products combined),FC_E,KTOE,2023,1883.5,2761785.0,0.681986468896022
Austria,AT,Total (all energy products combined),FC_E,KTOE,2013,25801.476,8451860.0,3.052757144581193
Austria,AT,Total (all energy products combined),FC_E,KTOE,2014,24760.998,8507786.0,2.9103926685509016
Austria,AT,Total (all energy products combined),FC_E,KTOE,2015,25475.009,8584926.0,2.967411600286362
Austria,AT,Total (all energy products combined),FC_E,KTOE,2016,26099.472,8700471.0,2.9997769086294293
Austria,AT,Total (all energy products combined),FC_E,KTOE,2017,26502.78,8772865.0,3.0209948517388563
Austria,AT,Total (all energy products combined),FC_E,KTOE,2018,26042.437,8822267.0,2.9518985312958677
Austria,AT,Total (all energy products combined),FC_E,KTOE,2019,26221.621,8858775.0,2.9599601525041557
Austria,AT,Total (all energy products combined),FC_E,KTOE,2020,25006.898,8901064.0,2.809427951534783
Austria,AT,Total (all energy products combined),FC_E,KTOE,2021,26434.142,8932664.0,2.9592674704880872
Austria,AT,Total (all energy products combined),FC_E,KTOE,2022,25171.124,8978929.0,2.803354832185442
Austria,AT,Total (all energy products combined),FC_E,KTOE,2023,24317.76,9104772.0,2.670880720571586
Austria,AT,Total (all energy products combined),FC_E,KTOE,2024,24018.564,9158750.0,2.6224718438651564
Belgium,BE,Total (all energy products combined),FC_E,KTOE,2013,34011.623,11137974.0,3.0536633502645993
Belgium,BE,Total (all energy products combined),FC_E,KTOE,2014,31552.075,11180840.0,2.8219771501962287
Belgium,BE,Total (all energy products combined),FC_E,KTOE,2015,33134.556,11237274.0,2.9486293561943935
Belgium,BE,Total (all energy products combined),FC_E,KTOE,2016,33384.527,11311117.0,2.951479239406683
Belgium,BE,Total (all energy products combined),FC_E,KTOE,2017,32929.156,11351727.0,2.900805842141905
Belgium,BE,Total (all energy products combined),FC_E,KTOE,2018,33138.244,11398589.0,2.9072233414153277
Belgium,BE,Total (all energy products combined),FC_E,KTOE,2019,32438.375,11455519.0,2.8316809565764762
Belgium,BE,Total (all energy products combined),FC_E,KTOE,2020,31155.401,11522440.0,2.703889193608298
Belgium,BE,Total (all energy products combined),FC_E,KTOE,2021,33307.465,11554767.0,2.882573486769573
Belgium,BE,Total (all energy products combined),FC_E,KTOE,2022,30522.671,11617623.0,2.627273324328049
Belgium,BE,Total (all energy products combined),FC_E,KTOE,2023,30043.254,11742796.0,2.558441277528793
Belgium,BE,Total (all energy products combined),FC_E,KTOE,2024,30741.348,11817096.0,2.601429995999017
Bulgaria,BG,Total (all energy products combined),FC_E,KTOE,2013,8680.757,7202556.0,1.205232836787385
Bulgaria,BG,Total (all energy products combined),FC_E,KTOE,2014,8881.501,7117453.0,1.247848211993813
Bulgaria,BG,Total (all energy products combined),FC_E,KTOE,2015,9388.553,7029690.0,1.3355571867322742
Bulgaria,BG,Total (all energy products combined),FC_E,KTOE,2016,9517.949,6938759.0,1.3717076785632705
Bulgaria,BG,Total (all energy products combined),FC_E,KTOE,2017,9745.903,6849518.0,1.422859681513356
Bulgaria,BG,Total (all energy products combined),FC_E,KTOE,2018,9757.67,6757418.0,1.4439938449863543
Bulgaria,BG,Total (all energy products combined),FC_E,KTOE,2019,9719.6,6664177.0,1.4584846711004225
Bulgaria,BG,Total (all energy products combined),FC_E,KTOE,2020,9499.659,6569275.0,1.4460741862686521
Bulgaria,BG,Total (all energy products combined),FC_E,KTOE,2021,10165.77,6532117.0,1.5562749411867547
Bulgaria,BG,Total (all energy products combined),FC_E,KTOE,2022,9856.902,6482484.0,1.5205439766607984
Bulgaria,BG,Total (all energy products combined),FC_E,KTOE,2023,9607.139,6447710.0,1.490007925294407
Bulgaria,BG,Total (all energy products combined),FC_E,KTOE,2024,9845.891,6445481.0,1.5275649714893271
Croatia,HR,Total (all energy products combined),FC_E,KTOE,2013,6467.843,4247803.0,1.5226325232125877
Croatia,HR,Total (all energy products combined),FC_E,KTOE,2014,6130.555,4217632.0,1.4535537951153634
Croatia,HR,Total (all energy products combined),FC_E,KTOE,2015,6484.974,4180915.0,1.5510896538197978
Croatia,HR,Total (all energy products combined),FC_E,KTOE,2016,6533.115,4131115.0,1.5814410879387284
Croatia,HR,Total (all energy products combined),FC_E,KTOE,2017,6793.042,4078769.0,1.6654637710544529
Croatia,HR,Total (all energy products combined),FC_E,KTOE,2018,6682.876,4014341.0,1.6647504534368156
Croatia,HR,Total (all energy products combined),FC_E,KTOE,2019,6726.814,3968676.0,1.6949768638205789
