freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,FC_E,C0000X0350-0370,KTOE,AL	67.005 	85.149 	94.089 	49.941 	123.149 	239.095 	123.502 	150.666 	227.071 	143.435 	144.329 	: 
A,FC_E,C0000X0350-0370,KTOE,AT	345.239 	340.804 	352.912 	360.998 	328.812 	310.633 	308.671 	343.989 	240.022 	243.928 	227.202 	223.372 
A,FC_E,C0000X0350-0370,KTOE,BA	: 	270.200 	281.006 	274.975 	264.879 	278.851 	204.969 	233.582 	286.227 	264.536 	220.641 	: 
A,FC_E,C0000X0350-0370,KTOE,BE	532.122 	492.039 	508.944 	489.880 	475.231 	487.741 	470.318 	378.385 	406.307 	329.668 	279.156 	240.593 
A,FC_E,C0000X0350-0370,KTOE,BG	364.272 	317.260 	331.146 	334.105 	371.605 	355.306 	312.492 	292.143 	400.909 	264.600 	240.253 	249.892 
A,FC_E,C0000X0350-0370,KTOE,CY	0.124 	2.218 	3.679 	0.000 	2.980 	13.614 	17.199 	14.004 	40.105 	30.593 	27.393 	12.694 
A,FC_E,C0000X0350-0370,KTOE,CZ	1857.198 	1599.674 	1574.414 	1562.511 	1754.833 	1655.274 	1437.206 	1413.144 	1431.891 	1392.779 	1101.530 	821.888 
A,FC_E,C0000X0350-0370,KTOE,DE	4318.156 	4077.775 	4749.252 	4630.137 	4547.885 	3758.459 	3421.122 	3580.505 	3178.365 	3595.324 	2635.407 	2445.772 
A,FC_E,C0000X0350-0370,KTOE,DK	130.365 	126.347 	117.773 	121.882 	131.241 	133.570 	108.688 	119.305 	139.023 	98.225 	85.735 	43.517 
A,FC_E,C0000X0350-0370,KTOE,EE	39.716 	47.994 	16.860 	17.509 	21.066 	26.273 	29.990 	7.315 	2.085 	1.596 	3.217 	0.477 
A,FC_E,C0000X0350-0370,KTOE,EL	212.366 	232.365 	224.437 	198.611 	195.667 	281.631 	198.274 	167.422 	183.649 	71.098 	60.556 	37.832 
A,FC_E,C0000X0350-0370,KTOE,ES	455.890 	443.649 	432.221 	406.415 	483.182 	477.739 	372.720 	343.109 	418.949 	430.527 	373.713 	328.113 
A,FC_E,C0000X0350-0370,KTOE,EU27_2020	24798.618 	23228.681 	23488.826 	23729.311 	23906.791 	22617.066 	19797.508 	19124.075 	18822.546 	16729.634 	14085.868 	12479.810 
A,FC_E,C0000X0350-0370,KTOE,FI	106.947 	106.166 	111.024 	139.521 	136.352 	128.138 	121.362 	105.715 	117.721 	108.714 	60.687 	41.218 
A,FC_E,C0000X0350-0370,KTOE,FR	1145.033 	1051.480 	1111.499 	1077.938 	1124.436 	1159.470 	950.297 	837.606 	969.238 	696.773 	579.958 	472.618 
A,FC_E,C0000X0350-0370,KTOE,GE	314.392 	290.462 	271.769 	250.280 	276.057 	293.700 	241.024 	212.848 	224.128 	235.423 	: 	: 
A,FC_E,C0000X0350-0370,KTOE,HR	115.977 	102.456 	81.112 	67.068 	76.171 	68.846 	82.715 	104.972 	108.871 	80.597 	67.272 	63.139 
A,FC_E,C0000X0350-0370,KTOE,HU	184.615 	161.659 	175.751 	200.345 	289.962 	226.412 	184.799 	156.907 	122.482 	124.477 	82.055 	68.126 
A,FC_E,C0000X0350-0370,KTOE,IE	318.206 	314.936 	326.458 	335.477 	268.307 	283.763 	234.927 	240.753 	235.439 	160.504 	120.222 	118.808 
A,FC_E,C0000X0350-0370,KTOE,IS	97.595 	86.743 	93.004 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
